movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_horas
MOV-00031,B-028,MAERSK-LIMA,R-02,MUELLE-D,MAIZ,VALPARAISO,2022-01-04,11:27,2022-01-05,01:21,7051.4,13.5,12,DESPACHADO,13.9
MOV-00032,B-035,HAPAG-RIO,R-02,MUELLE-D,ACEITE,VALPARAISO,2021-02-11,00:00,2021-02-14,05:25,4514.36,8.9,12,RECHAZADO,77.41666666666667
MOV-00033,B-015,YANG-ESTE,R-06,MUELLE-B,TRIGO,VALPARAISO,2020-03-21,09:50,2020-03-23,08:34,3203.27,7.3,15,PENDIENTE,46.733333333333334
MOV-00036,B-007,EVERGREEN-02,R-06,MUELLE-A,CONTENEDORES,VALPARAISO,2020-07-06,21:13,2020-07-07,00:00,7869.46,10.5,12,PENDIENTE,2.783333333333333
MOV-00037,B-012,MAERSK-LIMA,R-01,MUELLE-B,GRANOS,SHANGHAI,2020-04-17,04:47,2020-04-19,00:00,4818.46,11.7,12,PENDIENTE,43.21666666666667
MOV-00038,B-007,HAPAG-SUR,R-08,MUELLE-A,SOJA,SHANGHAI,2023-04-13,17:45,2023-04-15,23:12,5881.61,13.0,15,PENDIENTE,53.45
MOV-00039,B-021,MAERSK-PAMPAS,R-06,MUELLE-F,HARINA,SHANGHAI,2024-08-30,02:05,2024-09-01,02:23,4473.89,8.9,10,PENDIENTE,48.3
MOV-00040,B-014,CMA-ROSARIO,R-08,MUELLE-B,SOJA,SHANGHAI,2024-07-11,13:54,2024-07-11,00:00,5727.86,13.6,10,EN_REVISION,
MOV-00041,B-030,MSC-ALPHA,R-03,MUELLE-C,HARINA,SHANGHAI,2020-04-11,21:05,2020-04-13,15:29,5518.64,10.8,15,DESPACHADO,42.4
MOV-00042,B-009,PIL-SANTA,R-05,MUELLE-C,SOJA,SANTA FE,2022-12-26,22:14,2022-12-29,00:00,4986.01,10.1,12,RECHAZADO,49.766666666666666
MOV-00043,B-030,EVERGREEN-02,R-02,MUELLE-D,SOJA,SAO PAULO,2024-11-17,09:47,2024-11-19,23:03,3759.99,10.1,12,RECHAZADO,61.266666666666666
MOV-00044,B-032,CMA-LITORAL,,MUELLE-F,ACEITE,SHANGHAI,2021-09-12,08:37,2021-09-12,00:00,3745.51,13.2,15,PENDIENTE,
MOV-00045,B-013,MSC-ALPHA,R-08,MUELLE-E,MAIZ,SANTA FE,2024-01-02,02:32,2024-01-03,00:00,7045.67,15.9,12,RECHAZADO,21.466666666666665
MOV-00046,B-017,YANG-ESTE,R-03,MUELLE-C,SOJA,MONTEVIDEO,2022-03-13,04:38,2022-03-13,04:59,4352.23,16.1,15,EN_REVISION,0.35
MOV-00047,B-015,CMA-ROSARIO,R-03,MUELLE-A,HARINA,BUENOS AIRES,2020-09-25,19:24,2020-09-26,11:24,3710.41,6.8,15,DESPACHADO,16.0
MOV-00050,B-004,ZIM-DELTA,,MUELLE-F,MINERALES,BUENOS AIRES,2020-02-03,20:32,2020-02-05,00:00,5731.9,9.0,15,DESPACHADO,27.466666666666665
MOV-00052,B-020,ONE-PLATA,R-07,MUELLE-E,MINERALES,VALPARAISO,2024-10-31,01:55,2024-11-01,00:00,5016.16,10.0,12,DESPACHADO,22.083333333333332
MOV-00053,B-019,MSC-ALPHA,R-02,MUELLE-A,ACEITE,VALPARAISO,2023-11-13,14:22,2023-11-16,06:21,3200.68,13.6,10,EN_REVISION,63.983333333333334
MOV-00054,B-005,ZIM-DELTA,R-06,MUELLE-C,CONTENEDORES,SANTA FE,2022-06-28,02:36,2022-06-28,00:00,3738.64,5.4,12,PENDIENTE,
MOV-00055,B-005,CMA-LITORAL,R-03,MUELLE-F,MINERALES,BUENOS AIRES,2023-01-15,09:57,2023-01-17,23:09,4068.6,7.9,15,EN_REVISION,61.2
MOV-00056,B-020,COSCO-TIGRE,R-08,MUELLE-E,CONTENEDORES,ROTTERDAM,2022-07-10,14:43,2022-07-13,00:00,5739.47,13.9,10,DESPACHADO,57.28333333333333
MOV-00057,B-006,PIL-SANTA,,MUELLE-F,HARINA,MONTEVIDEO,2020-12-11,18:37,2020-12-12,06:55,4600.06,11.1,15,EN_REVISION,12.3
MOV-00058,B-020,HAPAG-SUR,R-04,MUELLE-F,CONTENEDORES,VALPARAISO,2022-05-01,15:29,2022-05-02,09:42,5378.26,12.5,12,RECHAZADO,18.216666666666665
MOV-00060,B-004,PIL-OESTE,R-04,MUELLE-C,HARINA,BUENOS AIRES,2024-08-17,19:43,2024-08-18,12:30,2960.28,11.9,12,RECHAZADO,16.783333333333335
MOV-00061,B-040,MSC-ALPHA,R-03,MUELLE-D,HARINA,SHANGHAI,2022-01-24,00:00,2022-01-25,12:29,4740.29,9.6,10,RECHAZADO,36.483333333333334
MOV-00062,B-010,ZIM-DELTA,R-01,MUELLE-E,SOJA,SAO PAULO,2023-11-15,06:26,2023-11-18,21:09,3834.7,13.1,12,DESPACHADO,86.71666666666667
MOV-00063,B-017,YANG-ESTE,,MUELLE-B,TRIGO,VALPARAISO,2024-04-28,09:45,2024-04-29,00:00,5506.97,20.0,12,EN_REVISION,14.25
MOV-00064,B-029,PIL-SANTA,R-08,MUELLE-B,TRIGO,VALPARAISO,2021-05-05,07:03,2021-05-08,00:00,6079.58,15.2,15,EN_REVISION,64.95
MOV-00065,B-004,COSCO-STAR,R-04,MUELLE-E,GRANOS,MONTEVIDEO,2024-09-08,12:50,2024-09-11,00:00,5551.09,10.7,10,RECHAZADO,59.166666666666664
MOV-00066,B-022,HAPAG-RIO,,MUELLE-F,HARINA,MONTEVIDEO,2023-10-13,06:11,2023-10-15,00:00,4821.74,6.7,15,DESPACHADO,41.81666666666667
MOV-00067,B-004,MAERSK-LIMA,R-08,MUELLE-C,MAIZ,ROTTERDAM,2022-01-22,19:14,2022-01-24,00:00,4372.56,8.0,12,EN_REVISION,28.766666666666666
MOV-00068,B-037,MAERSK-LIMA,,MUELLE-E,TRIGO,MONTEVIDEO,2023-10-25,06:45,2023-10-28,00:00,4314.36,15.2,10,PENDIENTE,65.25
MOV-00069,B-004,COSCO-STAR,R-08,MUELLE-A,HARINA,ROTTERDAM,2023-08-15,13:23,2023-08-17,00:00,5243.16,6.9,15,PENDIENTE,34.61666666666667
MOV-00070,B-035,MAERSK-PAMPAS,R-07,MUELLE-B,TRIGO,HAMBURG,2024-04-16,03:02,2024-04-18,21:28,5435.43,13.6,15,EN_REVISION,66.43333333333334
MOV-00071,B-015,PIL-OESTE,R-06,MUELLE-E,ACEITE,SAO PAULO,2021-03-28,13:19,2021-03-30,18:55,7492.52,5.9,15,EN_REVISION,53.6
MOV-00072,B-015,YANG-MING,R-03,MUELLE-D,GRANOS,ROTTERDAM,2021-06-06,06:21,2021-06-06,03:44,4397.33,11.4,10,RECHAZADO,
MOV-00073,B-001,ONE-PARANA,R-04,MUELLE-F,SOJA,HAMBURG,2021-05-05,17:20,2021-05-07,00:00,4372.87,7.6,12,PENDIENTE,30.666666666666668
MOV-00074,B-038,PIL-OESTE,,MUELLE-C,MAIZ,SAO PAULO,2022-10-19,17:41,2022-10-21,00:00,5195.16,15.9,10,EN_REVISION,30.316666666666666
MOV-00075,B-004,MSC-GENOVA,R-07,MUELLE-B,TRIGO,BUENOS AIRES,1900-01-01,00:00,2020-05-06,00:00,6422.25,12.2,12,PENDIENTE,
MOV-00077,B-014,PIL-OESTE,R-08,MUELLE-C,GRANOS,BUENOS AIRES,2021-01-02,10:01,2021-01-03,10:53,6246.11,9.7,10,EN_REVISION,24.866666666666667
MOV-00078,B-004,MAERSK-LIMA,R-07,MUELLE-B,SOJA,SHANGHAI,2021-07-13,14:31,2021-07-14,10:10,6046.42,11.5,15,,19.65
MOV-00079,B-020,CMA-LITORAL,R-06,MUELLE-C,SOJA,MONTEVIDEO,2022-11-15,00:00,2022-11-15,22:39,5502.08,15.0,15,DESPACHADO,22.65
MOV-00080,B-010,COSCO-STAR,R-03,MUELLE-D,HARINA,ROTTERDAM,2021-05-20,23:40,2021-05-23,12:44,4522.23,12.1,12,EN_REVISION,61.06666666666667
MOV-00081,B-021,HAPAG-RIO,R-07,MUELLE-C,HARINA,HAMBURG,2022-01-17,03:59,2022-01-18,00:00,4553.31,14.2,12,PENDIENTE,20.016666666666666
MOV-00082,B-028,COSCO-TIGRE,R-02,MUELLE-D,MINERALES,ROTTERDAM,2023-12-07,17:38,2023-12-08,03:29,2956.91,10.6,12,RECHAZADO,9.85
MOV-00084,B-036,HAPAG-RIO,R-06,MUELLE-E,CONTENEDORES,HAMBURG,2023-08-04,21:27,2023-08-07,09:51,5500.0,8.0,10,PENDIENTE,60.4
MOV-00085,B-032,ONE-PLATA,R-06,MUELLE-E,CONTENEDORES,ROTTERDAM,2020-12-19,21:45,2020-12-21,00:00,3661.36,16.7,15,DESPACHADO,26.25
MOV-00086,B-011,HAPAG-SUR,R-05,MUELLE-B,MAIZ,SHANGHAI,2022-09-19,04:12,2022-09-21,00:00,3241.61,7.9,10,RECHAZADO,43.8
MOV-00087,B-036,ONE-PLATA,R-02,MUELLE-E,SOJA,VALPARAISO,2022-06-22,17:13,2022-06-25,00:00,3052.13,10.7,15,EN_REVISION,54.78333333333333
MOV-00088,B-011,YANG-ESTE,R-03,MUELLE-B,TRIGO,SANTA FE,2021-10-24,22:18,2021-10-26,15:18,3415.63,11.2,10,EN_REVISION,41.0
MOV-00089,B-026,HAPAG-SUR,R-03,MUELLE-E,HARINA,ROTTERDAM,2022-04-05,16:47,2022-04-07,18:29,3376.24,13.3,10,RECHAZADO,49.7
MOV-00090,B-021,YANG-MING,R-06,MUELLE-E,MAIZ,HAMBURG,2020-07-22,20:50,2020-07-25,00:00,6600.55,8.9,10,EN_REVISION,51.166666666666664
MOV-00091,B-011,EVER-GLORY,R-07,MUELLE-F,HARINA,SAO PAULO,2021-03-13,15:04,1900-01-01,07:29,3952.69,8.1,10,RECHAZADO,
MOV-00092,B-009,CMA-ROSARIO,R-02,MUELLE-E,GRANOS,MONTEVIDEO,2020-11-06,13:39,2020-11-09,19:31,4506.73,13.7,15,RECHAZADO,77.86666666666666
MOV-00093,B-020,ONE-PARANA,,MUELLE-F,CONTENEDORES,VALPARAISO,2022-10-10,12:07,2022-10-11,19:40,5449.48,6.8,10,DESPACHADO,31.55
MOV-00094,B-003,EVER-GLORY,R-07,MUELLE-E,HARINA,ROTTERDAM,2023-01-06,19:09,2023-01-08,19:38,4851.58,10.8,15,RECHAZADO,48.483333333333334
MOV-00095,B-040,YANG-ESTE,R-01,MUELLE-C,MAIZ,BUENOS AIRES,2022-10-13,11:33,2022-10-16,00:00,4512.15,7.5,10,DESPACHADO,60.45
MOV-00096,B-032,PIL-OESTE,R-03,MUELLE-C,MAIZ,VALPARAISO,2021-04-12,23:32,2021-04-13,10:40,6414.81,9.2,10,DESPACHADO,11.133333333333333
MOV-00097,B-024,MAERSK-LIMA,,MUELLE-B,TRIGO,SANTA FE,1900-01-01,09:20,2024-05-04,23:36,6218.43,13.4,12,RECHAZADO,
MOV-00098,B-023,MSC-GENOVA,R-06,MUELLE-A,CONTENEDORES,VALPARAISO,2022-10-04,01:09,2022-10-05,00:00,5952.49,20.2,12,DESPACHADO,22.85
MOV-00099,B-021,COSCO-TIGRE,R-06,MUELLE-C,MINERALES,VALPARAISO,2020-08-11,04:06,2020-08-12,23:09,5720.42,12.9,15,PENDIENTE,43.05
MOV-00100,B-023,COSCO-TIGRE,R-01,MUELLE-F,HARINA,VALPARAISO,2023-02-12,23:35,2023-02-14,00:00,6198.39,12.6,12,PENDIENTE,24.416666666666668
MOV-00101,B-029,CMA-ROSARIO,R-02,MUELLE-C,SOJA,SANTA FE,2024-08-09,23:25,2024-08-12,21:51,7588.44,14.1,12,RECHAZADO,70.43333333333334
MOV-00102,B-013,ONE-PLATA,R-04,MUELLE-F,GRANOS,ROTTERDAM,1900-01-01,16:20,2023-03-06,00:00,2924.29,12.7,12,EN_REVISION,
MOV-00104,B-012,MSC-ALPHA,R-01,MUELLE-A,MAIZ,MONTEVIDEO,2022-02-04,22:42,2022-02-07,12:27,6357.43,7.1,10,DESPACHADO,61.75
MOV-00105,B-019,CMA-ROSARIO,R-03,MUELLE-F,GRANOS,ROTTERDAM,2021-03-28,20:36,2021-03-29,00:00,5434.73,14.4,15,DESPACHADO,3.4
MOV-00106,B-001,EVERGLORY,R-07,MUELLE-D,CONTENEDORES,MONTEVIDEO,2022-02-07,03:53,2022-02-09,00:00,3830.31,12.1,15,RECHAZADO,44.11666666666667
MOV-00108,B-019,COSCO-STAR,R-08,MUELLE-A,HARINA,ROTTERDAM,2023-08-07,17:24,2023-08-08,17:21,3238.98,12.3,10,RECHAZADO,23.95
MOV-00109,B-025,ONE-PLATA,R-07,MUELLE-E,MINERALES,SAO PAULO,2020-03-12,16:36,2020-03-15,00:00,4636.62,14.9,15,RECHAZADO,55.4
MOV-00110,B-005,COSCO-STAR,R-07,MUELLE-E,CONTENEDORES,SHANGHAI,2024-05-29,22:39,2024-06-01,22:57,2342.09,11.2,10,EN_REVISION,72.3
MOV-00111,B-012,PIL-SANTA,R-07,MUELLE-B,CONTENEDORES,SANTA FE,1900-01-01,23:30,2020-04-12,15:42,5827.96,10.3,10,RECHAZADO,
MOV-00112,B-014,MAERSK-PAMPAS,R-08,MUELLE-E,ACEITE,SANTA FE,2020-10-04,16:56,2020-10-04,01:16,6728.89,13.9,12,PENDIENTE,
MOV-00114,B-018,MAERSK-PAMPAS,R-07,MUELLE-C,MINERALES,VALPARAISO,2022-03-24,18:06,2022-03-24,00:00,3234.8,12.9,15,PENDIENTE,
MOV-00116,B-036,HAPAG-RIO,R-06,MUELLE-F,SOJA,SAO PAULO,2024-06-02,10:23,2024-06-03,00:00,5405.43,18.0,12,EN_REVISION,13.616666666666667
MOV-00118,B-034,ONE-PARANA,R-01,MUELLE-F,GRANOS,SAO PAULO,2020-07-29,12:32,2020-07-31,10:00,4616.91,9.4,10,PENDIENTE,45.46666666666667
MOV-00121,B-007,PIL-SANTA,R-04,MUELLE-D,HARINA,VALPARAISO,2024-10-11,00:00,2024-10-13,00:00,7090.14,13.7,10,RECHAZADO,48.0
MOV-00123,B-034,PIL-OESTE,R-04,MUELLE-F,ACEITE,BUENOS AIRES,2023-09-21,00:00,2023-09-24,11:51,4522.16,10.1,12,RECHAZADO,83.85
MOV-00124,B-016,COSCO-STAR,R-08,MUELLE-D,MINERALES,BUENOS AIRES,1900-01-01,20:01,2024-03-07,00:00,4429.79,12.5,12,RECHAZADO,
MOV-00125,B-039,HAPAG-SUR,R-06,MUELLE-F,MINERALES,BUENOS AIRES,2021-12-28,20:51,2021-12-30,19:59,5049.73,9.9,12,DESPACHADO,47.13333333333333
MOV-00126,B-003,PIL-OESTE,R-02,MUELLE-D,MINERALES,MONTEVIDEO,2022-06-05,18:30,2022-06-08,00:51,6958.34,12.1,15,RECHAZADO,54.35
MOV-00127,B-009,CMA-ROSARIO,R-07,MUELLE-E,HARINA,SHANGHAI,2023-11-07,11:58,2023-11-08,00:00,5509.85,16.0,12,PENDIENTE,12.033333333333333
MOV-00128,B-034,MAERSK-LIMA,R-01,MUELLE-D,MAIZ,SANTA FE,2021-08-09,21:16,2021-08-10,12:04,5618.79,16.8,10,DESPACHADO,14.8
MOV-00129,B-025,COSCO-TIGRE,R-07,MUELLE-F,ACEITE,SANTA FE,2024-08-26,07:58,2024-08-28,00:00,4967.85,10.0,12,DESPACHADO,40.03333333333333
MOV-00130,B-022,CMA-LITORAL,R-03,MUELLE-A,MAIZ,SHANGHAI,2021-09-08,15:50,2021-09-10,21:22,5249.07,7.8,15,DESPACHADO,53.53333333333333
MOV-00131,B-036,MSC-GENOVA,R-02,MUELLE-F,ACEITE,HAMBURG,2021-05-14,00:00,2021-05-15,03:54,6365.94,9.7,15,PENDIENTE,27.9
MOV-00132,B-035,ZIM-NORTE,R-01,MUELLE-F,SOJA,SAO PAULO,2021-02-25,17:53,2021-02-28,06:17,5833.54,9.6,10,,60.4
MOV-00133,B-008,ZIM-NORTE,R-01,MUELLE-F,SOJA,SANTA FE,2024-05-30,21:19,2024-05-31,00:00,4111.59,14.8,12,DESPACHADO,2.683333333333333
MOV-00134,B-001,ZIM-NORTE,R-03,MUELLE-A,GRANOS,SANTA FE,2021-03-06,23:47,2021-03-08,01:46,2170.48,10.3,12,RECHAZADO,25.983333333333334
MOV-00136,B-031,CMA-LITORAL,R-08,MUELLE-C,HARINA,HAMBURG,2024-10-24,04:57,2024-10-27,11:29,5737.11,15.7,12,DESPACHADO,78.53333333333333
MOV-00137,B-026,ZIM-DELTA,R-05,MUELLE-B,MINERALES,BUENOS AIRES,2024-10-02,19:43,2024-10-03,18:48,4885.13,12.3,10,RECHAZADO,23.083333333333332
MOV-00140,B-026,YANG-ESTE,R-01,MUELLE-F,HARINA,BUENOS AIRES,2020-12-15,07:53,2020-12-17,00:00,1422.1,15.0,12,PENDIENTE,40.11666666666667
MOV-00141,B-010,YANG-ESTE,R-02,MUELLE-B,MINERALES,SANTA FE,2023-01-09,00:57,2023-01-11,11:48,6467.82,14.4,15,DESPACHADO,58.85
MOV-00142,B-019,YANG-ESTE,R-07,MUELLE-C,TRIGO,SANTA FE,2022-02-07,20:13,2022-02-09,00:00,4469.82,11.3,10,DESPACHADO,27.783333333333335
MOV-00143,B-037,EVERGREEN-02,R-07,MUELLE-F,MAIZ,BUENOS AIRES,2020-07-24,06:32,2020-07-26,09:21,3243.42,13.5,10,PENDIENTE,50.81666666666667
MOV-00145,B-005,COSCO-STAR,R-05,MUELLE-F,ACEITE,SHANGHAI,2022-04-07,18:00,2022-04-09,00:09,5457.35,19.6,12,EN_REVISION,30.15
MOV-00146,B-030,PIL-OESTE,R-01,MUELLE-D,SOJA,VALPARAISO,2023-10-18,22:14,2023-10-20,04:19,3433.59,15.6,10,DESPACHADO,30.083333333333332
MOV-00147,B-013,HAPAG-SUR,R-04,MUELLE-B,TRIGO,VALPARAISO,2021-12-30,00:00,2021-12-30,00:00,5296.73,17.6,15,PENDIENTE,0.0
MOV-00148,B-037,CMA-ROSARIO,R-01,MUELLE-E,CONTENEDORES,HAMBURG,2024-05-08,05:29,1900-01-01,00:00,3799.66,12.0,15,DESPACHADO,
MOV-00149,B-024,EVERGREEN02,R-07,MUELLE-C,MINERALES,MONTEVIDEO,2024-01-16,08:51,2024-01-17,17:47,6811.06,11.4,10,PENDIENTE,32.93333333333333
MOV-00150,B-004,COSCO-TIGRE,R-02,MUELLE-F,MAIZ,SANTA FE,2020-07-16,14:47,2020-07-18,23:33,5532.93,8.9,15,PENDIENTE,56.766666666666666
MOV-00151,B-029,COSCO-STAR,R-07,MUELLE-E,HARINA,HAMBURG,2022-05-13,20:39,2022-05-16,16:51,6161.38,8.8,12,,68.2
MOV-00154,B-031,YANG-MING,R-01,MUELLE-D,HARINA,SAO PAULO,2022-06-14,12:15,2022-06-15,23:25,4259.56,11.4,15,DESPACHADO,35.166666666666664
MOV-00155,B-008,CMA-LITORAL,R-08,MUELLE-C,MINERALES,SAO PAULO,2020-02-15,05:06,2020-02-16,00:00,5380.06,12.1,15,EN_REVISION,18.9
MOV-00156,B-005,ZIM-NORTE,R-08,MUELLE-B,TRIGO,VALPARAISO,2021-05-24,12:49,2021-05-27,22:09,5288.94,10.7,15,RECHAZADO,81.33333333333333
MOV-00157,B-024,EVER-GLORY,R-04,MUELLE-A,TRIGO,ROTTERDAM,2020-09-02,12:50,2020-09-03,12:22,7124.81,12.5,15,EN_REVISION,23.533333333333335
MOV-00158,B-007,CMA-ROSARIO,R-08,MUELLE-B,ACEITE,SHANGHAI,2022-01-03,23:08,2022-01-05,00:00,4973.71,11.4,12,RECHAZADO,24.866666666666667
MOV-00159,B-024,CMA-LITORAL,R-01,MUELLE-F,CONTENEDORES,MONTEVIDEO,2021-05-04,10:46,2021-05-04,21:19,4166.36,10.0,15,DESPACHADO,10.55
MOV-00160,B-007,EVER-GLORY,R-07,MUELLE-F,MINERALES,VALPARAISO,2020-01-27,06:41,2020-01-30,05:06,3906.55,15.0,10,DESPACHADO,70.41666666666667
MOV-00161,B-007,ZIM-DELTA,R-07,MUELLE-B,TRIGO,SAO PAULO,2020-08-04,20:36,2020-08-06,00:00,3568.46,10.6,15,PENDIENTE,27.4
MOV-00163,B-009,PIL-SANTA,R-06,MUELLE-E,TRIGO,SAO PAULO,2023-03-11,06:46,2023-03-11,10:00,5197.28,10.8,12,EN_REVISION,3.2333333333333334
MOV-00164,B-008,ZIM-DELTA,R-01,MUELLE-F,CONTENEDORES,SANTA FE,2020-11-02,10:32,2020-11-03,09:47,3959.8,11.6,15,EN_REVISION,23.25
MOV-00165,B-009,CMA-ROSARIO,R-08,MUELLE-E,TRIGO,HAMBURG,2024-02-15,16:15,2024-02-17,00:00,4543.07,10.4,15,RECHAZADO,31.75
MOV-00168,B-034,YANG-MING,R-06,MUELLE-D,CONTENEDORES,MONTEVIDEO,2021-09-11,00:00,2021-09-12,00:00,4361.49,14.3,15,DESPACHADO,24.0
MOV-00169,B-016,PIL-OESTE,R-03,MUELLE-D,HARINA,SHANGHAI,2023-04-04,17:43,2023-04-05,00:00,4211.84,11.5,10,RECHAZADO,6.283333333333333
MOV-00170,B-021,MAERSK-PAMPAS,R-07,MUELLE-C,MINERALES,VALPARAISO,2020-02-23,00:00,2020-02-25,00:00,5103.71,10.6,10,PENDIENTE,48.0
MOV-00172,B-016,ONE-PLATA,R-07,MUELLE-F,GRANOS,ROTTERDAM,2024-05-03,09:29,2024-05-04,00:00,5476.51,15.0,12,DESPACHADO,14.516666666666667
MOV-00173,B-013,CMA-LITORAL,R-02,MUELLE-C,ACEITE,MONTEVIDEO,2022-01-13,02:33,2022-01-15,08:01,6578.29,14.5,15,DESPACHADO,53.46666666666667
MOV-00174,B-019,HAPAG-RIO,,MUELLE-B,TRIGO,SANTA FE,2023-01-18,00:38,2023-01-20,00:00,6403.92,12.3,12,EN_REVISION,47.36666666666667
MOV-00175,B-039,YANG-MING,R-06,MUELLE-A,GRANOS,BUENOS AIRES,2023-06-05,21:44,2023-06-06,00:00,5711.29,11.9,12,RECHAZADO,2.2666666666666666
MOV-00176,B-014,YANG-ESTE,R-01,MUELLE-A,SOJA,HAMBURG,2022-12-12,18:39,2022-12-14,00:00,2911.86,14.6,12,EN_REVISION,29.35
